fiscal_quarter,revenue_usd_m,data_center_revenue_usd_m,gross_margin_pct,operating_income_usd_m,operating_cash_flow_usd_m,inventory_usd_m,sequential_revenue_growth_pct,data_center_mix_pct,cash_to_operating_income_pct,source_note
FY2025-Q1,26044.0,22600.0,78.4,16909.0,15345.0,5864.0,,86.78,90.75,公开披露口径整理，用于演示
FY2025-Q2,30040.0,26300.0,75.1,18642.0,14677.0,6675.0,15.34,87.55,78.73,公开披露口径整理，用于演示
FY2025-Q3,35082.0,30800.0,74.6,21869.0,17631.0,7065.0,16.78,87.79,80.62,公开披露口径整理，用于演示
FY2025-Q4,39331.0,35600.0,73.0,24034.0,16050.0,10080.0,12.11,90.51,66.78,公开披露口径整理，用于演示
FY2026-Q1,44062.0,39100.0,60.5,21380.0,27500.0,11270.0,12.03,88.74,128.62,包含产品与监管变化影响的演示口径
FY2026-Q2,46743.0,41100.0,72.4,28440.0,23900.0,12030.0,6.08,87.93,84.04,公开披露口径整理，用于演示
FY2026-Q3,57006.0,51200.0,73.4,36780.0,31000.0,13320.0,21.96,89.82,84.28,公开披露口径整理，用于演示
FY2026-Q4,68127.0,62100.0,75.0,44700.0,39000.0,14200.0,19.51,91.15,87.25,FY2026 年度拆分演示值，需回到原始披露复核
